Symptom Description,Specialization
Depression,Psychiatrist
Numbness,Neurologist
Memory loss,Neurologist
Headache,General Physician
Swelling,Orthopedic
Toothache,Dentist
Pelvic pain,Gynecologist
Cataract,Ophthalmologist
Stress,Psychiatrist
Migraine,Neurologist
Itching,Dermatologist
Depression,Psychiatrist
Fatigue,General Physician
Numbness,Neurologist
Shortness of breath,Cardiologist
Cavities,Dentist
Swelling in legs,Cardiologist
Cavities,Dentist
Tremors,Neurologist
Stiffness,Orthopedic
Fever in children,Pediatrician
Joint pain,Orthopedic
Back pain,Orthopedic
Insomnia,Psychiatrist
Irregular heartbeat,Cardiologist
Skin rash,Dermatologist
Bleeding gums,Dentist
Stress,Psychiatrist
Fever in children,Pediatrician
Fever,General Physician
Swelling in legs,Cardiologist
Numbness,Neurologist
Cavities,Dentist
Dry eyes,Ophthalmologist
Anxiety,Psychiatrist
Body ache,General Physician
Tremors,Neurologist
Irregular periods,Gynecologist
Bleeding gums,Dentist
Blurred vision,Ophthalmologist
Fatigue,General Physician
Fatigue,General Physician
Migraine,Neurologist
Swelling in legs,Cardiologist
Tooth sensitivity,Dentist
Fatigue,General Physician
Eczema,Dermatologist
Chest pain,Cardiologist
Psoriasis,Dermatologist
Mood swings,Psychiatrist
Irregular heartbeat,Cardiologist
Headache,General Physician
Redness in eyes,Ophthalmologist
Pelvic pain,Gynecologist
Pelvic pain,Gynecologist
Pregnancy care,Gynecologist
Menopause issues,Gynecologist
Skin rash,Dermatologist
Eye pain,Ophthalmologist
Eye pain,Ophthalmologist
Shortness of breath,Cardiologist
Fatigue,General Physician
Eye pain,Ophthalmologist
Redness in eyes,Ophthalmologist
Anxiety,Psychiatrist
Fracture,Orthopedic
Toothache,Dentist
Depression,Psychiatrist
Eczema,Dermatologist
Pregnancy care,Gynecologist
Irregular periods,Gynecologist
Back pain,Orthopedic
Ear infection,Pediatrician
Cavities,Dentist
Cavities,Dentist
Cough in children,Pediatrician
Skin rash,Dermatologist
Numbness,Neurologist
Eye pain,Ophthalmologist
Skin rash,Dermatologist
Fever,General Physician
Chest pain,Cardiologist
Swelling in legs,Cardiologist
Itching,Dermatologist
Skin rash,Dermatologist
Swelling,Orthopedic
Headache,General Physician
Cavities,Dentist
Headache,General Physician
Blurred vision,Ophthalmologist
Pelvic pain,Gynecologist
Fatigue,General Physician
Tremors,Neurologist
Migraine,Neurologist
Acne,Dermatologist
Shortness of breath,Cardiologist
Bleeding gums,Dentist
Cough in children,Pediatrician
Itching,Dermatologist
Dry eyes,Ophthalmologist
Back pain,Orthopedic
Shortness of breath,Cardiologist
Fatigue,General Physician
Stress,Psychiatrist
Chest pain,Cardiologist
Swelling,Orthopedic
Pregnancy care,Gynecologist
Psoriasis,Dermatologist
Fracture,Orthopedic
Bad breath,Dentist
Cough,General Physician
Stress,Psychiatrist
Pregnancy care,Gynecologist
Itching,Dermatologist
Stiffness,Orthopedic
Swelling in legs,Cardiologist
Skin rash,Dermatologist
Bad breath,Dentist
Numbness,Neurologist
Fever in children,Pediatrician
Seizures,Neurologist
Depression,Psychiatrist
Growth issues,Pediatrician
Dry eyes,Ophthalmologist
Pregnancy care,Gynecologist
Skin rash,Dermatologist
Ear infection,Pediatrician
Menopause issues,Gynecologist
Depression,Psychiatrist
Cough in children,Pediatrician
Fever in children,Pediatrician
Anxiety,Psychiatrist
Seizures,Neurologist
Fracture,Orthopedic
Numbness,Neurologist
Migraine,Neurologist
Fracture,Orthopedic
Eye pain,Ophthalmologist
Cavities,Dentist
Swelling in legs,Cardiologist
Growth issues,Pediatrician
Seizures,Neurologist
Insomnia,Psychiatrist
Acne,Dermatologist
Irregular periods,Gynecologist
Growth issues,Pediatrician
Irregular periods,Gynecologist
Pregnancy care,Gynecologist
Eye pain,Ophthalmologist
Blurred vision,Ophthalmologist
Acne,Dermatologist
Toothache,Dentist
Joint pain,Orthopedic
Shortness of breath,Cardiologist
Chest pain,Cardiologist
Psoriasis,Dermatologist
Shortness of breath,Cardiologist
Fatigue,General Physician
Numbness,Neurologist
Fever in children,Pediatrician
Migraine,Neurologist
Stiffness,Orthopedic
Chest pain,Cardiologist
Mood swings,Psychiatrist
Chest pain,Cardiologist
Anxiety,Psychiatrist
Chest pain,Cardiologist
Chest pain,Cardiologist
Cough in children,Pediatrician
Fracture,Orthopedic
Swelling in legs,Cardiologist
Fever in children,Pediatrician
Eczema,Dermatologist
Toothache,Dentist
Anxiety,Psychiatrist
Cough,General Physician
Insomnia,Psychiatrist
Cataract,Ophthalmologist
Tooth sensitivity,Dentist
Redness in eyes,Ophthalmologist
Swelling in legs,Cardiologist
Irregular heartbeat,Cardiologist
Cavities,Dentist
Pelvic pain,Gynecologist
Anxiety,Psychiatrist
Numbness,Neurologist
Pelvic pain,Gynecologist
Depression,Psychiatrist
Blurred vision,Ophthalmologist
Blurred vision,Ophthalmologist
Pregnancy care,Gynecologist
Depression,Psychiatrist
Fatigue,General Physician
Insomnia,Psychiatrist
Cough,General Physician
Headache,General Physician
Ear infection,Pediatrician
Growth issues,Pediatrician
Bad breath,Dentist
Cavities,Dentist
Bad breath,Dentist
Pelvic pain,Gynecologist
Blurred vision,Ophthalmologist
Memory loss,Neurologist
Fever,General Physician
Stiffness,Orthopedic
Stiffness,Orthopedic
Cough in children,Pediatrician
Psoriasis,Dermatologist
Dry eyes,Ophthalmologist
Toothache,Dentist
Bad breath,Dentist
Blurred vision,Ophthalmologist
Menopause issues,Gynecologist
Stiffness,Orthopedic
Fatigue,General Physician
Irregular heartbeat,Cardiologist
Dry eyes,Ophthalmologist
Joint pain,Orthopedic
Eye pain,Ophthalmologist
Tremors,Neurologist
Eczema,Dermatologist
Body ache,General Physician
Shortness of breath,Cardiologist
Fracture,Orthopedic
Pregnancy care,Gynecologist
Migraine,Neurologist
Stiffness,Orthopedic
Menopause issues,Gynecologist
Growth issues,Pediatrician
Fracture,Orthopedic
Mood swings,Psychiatrist
Redness in eyes,Ophthalmologist
Joint pain,Orthopedic
Headache,General Physician
Fever,General Physician
Memory loss,Neurologist
Numbness,Neurologist
Stiffness,Orthopedic
Ear infection,Pediatrician
Shortness of breath,Cardiologist
Joint pain,Orthopedic
Dry eyes,Ophthalmologist
Pregnancy care,Gynecologist
Anxiety,Psychiatrist
Seizures,Neurologist
Anxiety,Psychiatrist
Eczema,Dermatologist
Irregular periods,Gynecologist
Shortness of breath,Cardiologist
Toothache,Dentist
Pregnancy care,Gynecologist
Back pain,Orthopedic
Irregular heartbeat,Cardiologist
Irregular heartbeat,Cardiologist
Irregular periods,Gynecologist
Eczema,Dermatologist
Growth issues,Pediatrician
Tooth sensitivity,Dentist
Tremors,Neurologist
Fever in children,Pediatrician
Tooth sensitivity,Dentist
Swelling in legs,Cardiologist
Irregular periods,Gynecologist
Stiffness,Orthopedic
Cough,General Physician
Pelvic pain,Gynecologist
Irregular periods,Gynecologist
Eye pain,Ophthalmologist
Depression,Psychiatrist
Blurred vision,Ophthalmologist
Tooth sensitivity,Dentist
Anxiety,Psychiatrist
Stress,Psychiatrist
Growth issues,Pediatrician
Bleeding gums,Dentist
Toothache,Dentist
Anxiety,Psychiatrist
Tremors,Neurologist
Dry eyes,Ophthalmologist
Pregnancy care,Gynecologist
Insomnia,Psychiatrist
Memory loss,Neurologist
Cough,General Physician
Cataract,Ophthalmologist
Eye pain,Ophthalmologist
Bleeding gums,Dentist
Blurred vision,Ophthalmologist
Bleeding gums,Dentist
Cough,General Physician
Growth issues,Pediatrician
Psoriasis,Dermatologist
Ear infection,Pediatrician
Swelling,Orthopedic
Joint pain,Orthopedic
Cataract,Ophthalmologist
Bleeding gums,Dentist
Irregular heartbeat,Cardiologist
Tooth sensitivity,Dentist
Pelvic pain,Gynecologist
Stress,Psychiatrist
Cataract,Ophthalmologist
Itching,Dermatologist
Bleeding gums,Dentist
Skin rash,Dermatologist
Growth issues,Pediatrician
Eye pain,Ophthalmologist
Cough,General Physician
Bad breath,Dentist
Irregular heartbeat,Cardiologist
Insomnia,Psychiatrist
Seizures,Neurologist
Irregular periods,Gynecologist
Eye pain,Ophthalmologist
Fever in children,Pediatrician
Mood swings,Psychiatrist
Dry eyes,Ophthalmologist
Menopause issues,Gynecologist
Eye pain,Ophthalmologist
Swelling,Orthopedic
Cough,General Physician
Seizures,Neurologist
Skin rash,Dermatologist
Acne,Dermatologist
Eczema,Dermatologist
Eye pain,Ophthalmologist
Menopause issues,Gynecologist
Shortness of breath,Cardiologist
Cough in children,Pediatrician
Cataract,Ophthalmologist
Back pain,Orthopedic
Migraine,Neurologist
Redness in eyes,Ophthalmologist
Irregular periods,Gynecologist
Psoriasis,Dermatologist
Skin rash,Dermatologist
Itching,Dermatologist
Acne,Dermatologist
Bad breath,Dentist
Ear infection,Pediatrician
Fracture,Orthopedic
Migraine,Neurologist
Cataract,Ophthalmologist
Swelling,Orthopedic
Eczema,Dermatologist
Seizures,Neurologist
Acne,Dermatologist
Fracture,Orthopedic
Stiffness,Orthopedic
Acne,Dermatologist
Cavities,Dentist
Fever in children,Pediatrician
Toothache,Dentist
Swelling in legs,Cardiologist
Headache,General Physician
Redness in eyes,Ophthalmologist
Mood swings,Psychiatrist
Redness in eyes,Ophthalmologist
Shortness of breath,Cardiologist
Anxiety,Psychiatrist
Psoriasis,Dermatologist
Numbness,Neurologist
Numbness,Neurologist
Eye pain,Ophthalmologist
Acne,Dermatologist
Itching,Dermatologist
Bleeding gums,Dentist
Tooth sensitivity,Dentist
Ear infection,Pediatrician
Fever in children,Pediatrician
Eye pain,Ophthalmologist
Eczema,Dermatologist
Cough in children,Pediatrician
Joint pain,Orthopedic
Fatigue,General Physician
Redness in eyes,Ophthalmologist
Skin rash,Dermatologist
Swelling,Orthopedic
Body ache,General Physician
Bleeding gums,Dentist
Joint pain,Orthopedic
Headache,General Physician
Body ache,General Physician
Insomnia,Psychiatrist
Fever in children,Pediatrician
Numbness,Neurologist
Eye pain,Ophthalmologist
Bleeding gums,Dentist
Stiffness,Orthopedic
Tooth sensitivity,Dentist
Body ache,General Physician
Pelvic pain,Gynecologist
pain in the body,General Physician
Body pain,General Physician
Body ache,General Physician
Irregular heartbeat,Cardiologist
Memory loss,Neurologist
Migraine,Neurologist
Tooth sensitivity,Dentist
Anxiety,Psychiatrist
Irregular periods,Gynecologist
Fever in children,Pediatrician
Swelling in legs,Cardiologist
Headache,General Physician
Bleeding gums,Dentist
Eye pain,Ophthalmologist
Seizures,Neurologist
Psoriasis,Dermatologist
Body ache,General Physician
Memory loss,Neurologist
Insomnia,Psychiatrist
Back pain,Orthopedic
Fatigue,General Physician
Psoriasis,Dermatologist
Pelvic pain,Gynecologist
Chest pain,Cardiologist
Eye pain,Ophthalmologist
Fever,General Physician
Bleeding gums,Dentist
Pelvic pain,Gynecologist
Irregular periods,Gynecologist
Ear infection,Pediatrician
Chest pain,Cardiologist
Menopause issues,Gynecologist
Stress,Psychiatrist
Seizures,Neurologist
Memory loss,Neurologist
Irregular heartbeat,Cardiologist
Swelling,Orthopedic
Bad breath,Dentist
Seizures,Neurologist
Eczema,Dermatologist
Ear infection,Pediatrician
Bleeding gums,Dentist
Fracture,Orthopedic
Body ache,General Physician
Cough in children,Pediatrician
Seizures,Neurologist
Shortness of breath,Cardiologist
Growth issues,Pediatrician
Fever in children,Pediatrician
Cataract,Ophthalmologist
Bad breath,Dentist
Migraine,Neurologist
Eczema,Dermatologist
Shortness of breath,Cardiologist
Fever in children,Pediatrician
Pregnancy care,Gynecologist
Cough,General Physician
Growth issues,Pediatrician
Fever in children,Pediatrician
Shortness of breath,Cardiologist
Bad breath,Dentist
Fever in children,Pediatrician
Bad breath,Dentist
Pregnancy care,Gynecologist
Pregnancy care,Gynecologist
Ear infection,Pediatrician
Bad breath,Dentist
Chest pain,Cardiologist
Psoriasis,Dermatologist
Skin rash,Dermatologist
Seizures,Neurologist
Acne,Dermatologist
Pelvic pain,Gynecologist
Menopause issues,Gynecologist
Itching,Dermatologist
Psoriasis,Dermatologist
Skin rash,Dermatologist
Fatigue,General Physician
Growth issues,Pediatrician
Pregnancy care,Gynecologist
Back pain,Orthopedic
Stomach Pain,General Physician
Fever,General Physician
Common Cold,General Physician
Headache,Neurologist
I have persistent stomach pain that worsens after eating.,General Physician
I feel nauseous and have mild stomach cramps.,General Physician
My stomach pain is accompanied by severe diarrhea.,General Physician
I experience stomach pain and bloating every time I eat.,General Physician
"I have sharp, localized stomach pain on the lower right side.",General Physician
I have a mild fever and chills but no other major symptoms.,General Physician
My fever has lasted more than three days and won’t go down.,General Physician
I experience high fever along with severe body aches.,General Physician
"My fever comes and goes, and I feel weak and tired all the time.",General Physician
I have a runny nose and sneezing due to a common cold.,General Physician
"My throat feels scratchy and sore, and I have a mild fever.",General Physician
I am experiencing a stuffy nose and mild headache.,General Physician
My cold has persisted for more than a week with no signs of relief.,General Physician
I have a fever and my chest feels tight when I cough.,General Physician
